"tid";"posisjon"
0.500;0.0240
0.550;0.0804
0.600;0.1356
0.650;0.1888
0.700;0.2397
0.750;0.2887
0.800;0.3357
0.850;0.3805
0.900;0.4233
0.950;0.4642
1.000;0.5029
1.050;0.5396
1.100;0.5742
1.150;0.6068
1.200;0.6374
1.250;0.6659
1.300;0.6922
1.350;0.7167
1.400;0.7389
1.450;0.7591
1.500;0.7773
1.550;0.7934
1.600;0.8075
1.650;0.8195
1.700;0.8296
1.750;0.8374
1.800;0.8433
1.850;0.8468
1.900;0.8484
1.950;0.8479
2.000;0.8454
2.050;0.8413
2.100;0.8351
2.150;0.8271
2.200;0.8172
2.250;0.8053
2.300;0.7915
2.350;0.7758
2.400;0.7584
2.450;0.7392
2.500;0.7182
2.550;0.6956
2.600;0.6709
2.650;0.6448
2.700;0.6166
2.750;0.5868
2.800;0.5551
2.850;0.5217
2.900;0.4865
2.950;0.4496
3.000;0.4108
3.050;0.3705
3.100;0.3283
3.150;0.2844
3.200;0.2386
3.250;0.1914
3.300;0.1422
3.350;0.0914
3.400;0.0390
